runId,finalCensus,primarySuccessCount,optionalSuccessCount,maxStackHeight,totalAssets,adjacencyBonusTotal,boomRound,limiterMostHit,seed,policyCount,blightStart,blightEnd,blightClearedCount,stackSum,stacksAbove1,top3StackHeights,endgameSurgeRatio,maxSingleRoundGrowth,rewardPark,rewardMarket,rewardClinic,rewardTransit,rewardPolicy,totalSuitGrowth,totalAdjacencyGrowth,totalPolicyGrowth,totalEndgameBonus,blockedByMissionFail,blockedByJobs,blockedByServices,blockedByPotential,policyRewardsEarned,policiesApplied,assetRewardsEarned,assetsPlaced,rewardsWastedOrCapped,prestigeScore,prestigeMult,boomMult,endgameBase,endgameBonus,blightPenalty
1,227646,5,10,5,9,17,,Potential,1766085198341,1,0,1,2,66,16,5|5|5,0.823,13,3,2,3,1,1,32,17,0,0,13,6,0,13,1,1,9,9,,82,1.3214990281504324,1,18212,24067,0.18
2,994034,7,9,5,9,18,7,Potential,1766085198359,1,0,0,1,70,16,5|5|5,1.526,28,3,3,2,3,3,29,18,0,338688.00000000006,6,31,0,0,3,1,11,9,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),97,1.4913698575493912,1,178926,266845,0
3,351694,8,10,5,16,17,,Potential,1766085198363,1,0,0,0,70,16,5|5|5,1.005,11,3,7,4,3,1,22,17,0,0,0,0,0,0,1,1,17,16,Unplaced assets remaining (best-effort),97,1.4934248002943078,1,63305,94541,0
4,425937,7,6,5,8,10,,Potential,1766085198367,0,0,0,1,72,16,5|5|5,1.006,14,1,3,3,2,2,22,10,0,1323,4,0,0,5,2,0,9,8,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),64,1.201224991577498,1,34075,40932,0
5,1144551,7,7,5,9,18,6,Potential,1766085198370,1,0,0,1,65,16,5|5|5,1.646,20,0,3,4,3,3,23,18,0,445875.48913226865,6,0,0,7,3,1,10,9,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),100,1.6,1,91564,146502,0
6,815082,6,5,5,7,10,,Potential,1766085198373,1,0,1,1,72,16,5|5|5,1.251,18,1,2,2,2,1,25,10,0,338688.00000000006,13,0,0,15,1,1,7,7,,90,1.4038347261957387,1,65207,91540,0.18
7,119033,5,9,5,8,11,,Potential,1766085198376,1,0,1,2,66,16,5|5|5,0.825,7,2,4,2,0,1,17,11,0,0,15,2,0,16,1,1,8,8,,68,1.184781740265871,1,9523,15000,0.18
8,1212794,6,8,5,10,25,5,Potential,1766085198379,0,0,1,1,70,16,5|5|5,1.547,28,1,3,3,3,2,24,25,0,691690.5640391274,16,0,0,18,2,0,10,10,Policy rewards not active (best-effort),82,1.3856907353794294,1,97024,134445,0.18
9,187455,5,10,5,10,11,8,Potential,1766085198382,0,0,2,1,71,16,5|5|5,0.644,20,3,4,4,1,0,23,11,0,0,19,13,0,7,0,0,12,10,Unplaced assets remaining (best-effort),43,1.0276209572428432,1,14996,15410,0.36
10,499475,7,9,5,8,10,,Potential,1766085198385,0,1,0,1,68,16,5|5|5,1.068,14,1,2,4,4,4,24,10,0,29765.74166422024,2,0,0,3,4,0,11,8,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),68,1.237789009052427,1,89906,111285,0
11,529264,7,12,5,13,16,,Potential,1766085198388,1,0,0,1,66,16,5|5|5,1.097,16,3,5,5,2,3,29,16,0,44498.7548940059,5,0,0,6,3,1,15,13,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),100,1.5571324921637204,1,42341,65931,0
12,829442,7,7,5,10,17,,Potential,1766085198391,1,0,0,1,70,16,5|5|5,1.382,16,3,4,3,1,2,30,17,0,228172.79276414847,4,0,0,5,2,1,11,10,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),100,1.6,1,66355,106168,0
13,472617,7,7,5,10,18,,Potential,1766085198393,1,0,0,1,72,16,5|5|5,1.043,17,2,4,2,2,3,22,18,0,17374.481426130922,6,0,2,7,3,1,10,10,Policy rewards not active (best-effort),100,1.5368427631984503,1,37809,58106,0
14,87059,4,8,5,4,16,,Potential,1766085198396,1,0,3,1,70,16,5|5|5,0.462,12,1,2,1,0,3,23,16,0,0,23,0,0,31,3,1,4,4,Policy rewards not active (best-effort),59,1.1064811135462311,1,15671,17340,0.54
15,433376,4,11,5,4,11,7,Potential,1766085198399,0,1,1,3,68,16,5|5|5,0.898,23,0,1,0,3,2,27,11,0,44498.7548940059,22,11,0,18,2,0,4,4,Policy rewards not active (best-effort),57,1.1360000223941036,1,34670,39385,0.18
16,373013,7,9,5,11,18,,Potential,1766085198402,1,0,0,1,67,16,5|5|5,1.002,14,2,3,4,3,1,15,18,0,0,3,0,0,4,1,1,12,11,Unplaced assets remaining (best-effort),98,1.4991323147806854,1,29841,44736,0
17,269799,5,8,5,7,24,8,Potential,1766085198404,1,0,1,2,67,16,5|5|5,0.822,20,2,2,3,0,2,28,24,0,0,23,7,0,20,2,1,7,7,Policy rewards not active (best-effort),77,1.2644405343839682,1,48564,61406,0.18
18,336494,6,7,5,7,10,,Potential,1766085198407,0,0,1,1,73,16,5|5|5,0.823,16,1,2,2,2,3,20,10,0,0,12,0,0,14,3,0,7,7,Policy rewards not active (best-effort),55,1.1222570235829108,1,60569,67974,0.18
19,255123,7,7,5,9,11,,Potential,1766085198409,1,0,0,1,63,15,5|5|5,1.002,7,1,3,3,3,2,25,11,0,0,2,0,0,2,2,1,10,9,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),83,1.3315212360363178,1,20410,27176,0
20,388979,6,10,5,12,11,,Potential,1766085198412,1,0,0,2,72,16,5|5|5,1.006,15,1,6,4,2,2,25,11,0,0,12,2,0,6,2,1,13,12,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),90,1.4065741583388276,1,31118,43770,0
21,1537333,7,5,5,9,18,3,Potential,1766085198415,1,0,0,1,69,16,5|5|5,1.925,28,0,4,5,1,1,27,18,0,736487.1842458517,6,0,0,7,1,1,10,9,Unplaced assets remaining (best-effort),100,1.6,1,276720,442752,0
22,264374,5,11,5,9,10,,Potential,1766085198417,0,0,1,2,66,16,5|5|5,0.824,14,0,4,2,3,2,27,10,0,0,15,19,0,5,2,0,9,9,Policy rewards not active (best-effort),51,1.0889383442229135,1,47587,51819,0.18
23,121152,5,7,5,9,10,,Potential,1766085198420,0,0,3,0,70,16,5|5|5,0.463,14,5,1,3,0,0,23,10,0,0,20,0,0,26,0,0,9,9,,31,0.9547950644993572,1,9692,15000,0.54
24,270476,5,7,5,9,11,,Potential,1766085198422,1,1,1,2,73,16,5|5|5,0.824,12,2,2,3,2,1,24,11,0,0,17,0,0,20,1,1,9,9,,77,1.264722369276039,1,48686,61574,0.18
25,277368,6,8,5,7,18,,Jobs,1766085198425,0,0,0,2,68,16,5|5|5,1.003,8,3,1,3,1,2,30,18,0,0,14,58,0,0,2,0,8,7,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),64,1.20366969488729,1,49926,60094,0
26,459715,5,9,5,5,11,,Potential,1766085198428,1,0,0,3,68,16,5|5|5,1.032,18,0,3,3,0,3,22,11,0,12157.823389288618,9,10,0,8,3,1,6,5,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),91,1.418152553426454,1,82749,117351,0
27,875289,5,8,5,3,17,4,Jobs,1766085198431,1,0,0,3,66,16,5|5|5,1.424,36,1,1,1,2,3,32,17,0,258072.58194873488,26,27,0,7,3,1,5,3,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),99,1.5105290099786646,1,157552,237987,0
28,920567,6,7,5,8,16,7,Potential,1766085198433,0,0,0,2,71,16,5|5|5,1.463,28,1,5,2,1,2,26,16,0,289332.11440898,13,3,0,16,2,0,9,8,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),79,1.3507215412550158,1,73645,99474,0
29,269577,5,9,5,6,18,,Potential,1766085198435,0,0,1,2,71,16,5|5|5,0.822,14,2,2,2,0,3,22,18,0,0,20,0,5,24,3,0,6,6,Policy rewards not active (best-effort),59,1.1591578022056905,1,21566,24998,0.18
30,209831,5,7,5,6,11,,Jobs,1766085198438,0,0,1,2,71,16,5|5|5,0.824,18,2,4,1,1,1,27,11,0,0,20,17,0,14,1,0,8,6,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),47,1.056470476593076,1,16786,17734,0.18
31,1198473,6,10,5,8,24,6,Potential,1766085198440,1,0,0,2,66,16,5|5|5,1.687,26,2,3,2,2,4,23,24,0,484011.6669598823,13,3,0,15,4,1,9,8,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),100,1.6,1,215725,345160,0
32,269907,4,8,5,5,11,,Potential,1766085198442,1,1,1,3,69,16,5|5|5,0.823,14,2,0,3,0,2,26,11,0,0,19,16,0,18,2,1,5,5,Policy rewards not active (best-effort),75,1.2533794691305593,1,75574,94723,0.18
33,516944,7,10,5,14,18,,Potential,1766085198445,0,0,1,0,71,16,5|5|5,0.982,16,5,3,3,3,3,24,18,0,100764.10659899013,9,0,0,10,3,0,14,14,Policy rewards not active (best-effort),73,1.2878659973453392,1,93050,119836,0.18
34,968428,7,12,5,14,17,7,Potential,1766085198448,1,0,0,1,69,16,5|5|5,1.504,22,3,4,5,3,2,27,17,0,321913.0288456441,6,2,0,7,2,1,15,14,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),100,1.6,1,174317,278907,0
35,270163,5,11,5,11,17,,Potential,1766085198450,0,0,1,2,70,16,5|5|5,0.824,13,3,2,1,5,0,27,17,0,0,15,0,0,17,0,0,11,11,,59,1.1574151999364515,1,21613,25015,0.18
36,531671,6,8,5,10,10,,Potential,1766085198453,0,0,1,1,66,16,5|5|5,0.996,18,1,4,2,3,2,23,10,0,111725.37382096253,14,0,0,16,2,0,10,10,Policy rewards not active (best-effort),62,1.182751136420542,1,42534,50307,0.18
37,239587,4,7,5,4,11,,Potential,1766085198455,0,0,1,3,71,16,5|5|5,0.822,18,0,4,0,2,0,16,11,0,0,12,0,0,16,0,0,6,4,Unplaced assets remaining (best-effort),47,1.058015160186196,1,19167,20279,0.18
38,897454,7,9,5,7,18,8,Potential,1766085198458,0,0,0,1,72,16,5|5|5,1.443,22,2,1,3,4,4,24,18,0,273534.86787965195,5,0,0,6,4,0,10,7,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),83,1.4017576141548642,1,71796,100641,0
39,50204,4,10,5,7,18,,Potential,1766085198461,0,0,2,2,69,16,5|5|5,0.642,3,2,2,2,3,0,21,18,0,0,14,0,0,21,0,0,9,7,Unplaced assets remaining (best-effort),38,0.9953602045958028,1,4016,15000,0.36
40,182518,5,7,5,7,16,,Potential,1766085198463,0,0,2,1,69,16,5|5|5,0.643,16,1,2,3,2,1,27,16,0,0,17,4,0,23,1,0,8,7,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),47,1.0543925388987596,1,14601,15395,0.36
41,447456,7,12,5,11,16,,Potential,1766085198466,1,0,0,1,71,16,5|5|5,1.021,12,4,3,3,2,5,21,16,0,7672.799536334168,4,0,0,5,5,1,12,11,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),100,1.5293606705846556,1,80542,123178,0
42,809914,7,11,5,11,17,,Potential,1766085198468,1,0,0,1,69,16,5|5|5,1.367,18,2,4,3,5,2,31,17,0,213745.9186692464,6,0,0,7,2,1,14,11,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),100,1.6,1,145785,233256,0
43,1093403,6,9,5,8,10,4,Potential,1766085198470,1,0,0,2,67,16,5|5|5,1.606,30,1,4,3,2,3,31,10,0,408925.17236928677,10,14,0,12,3,1,10,8,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),93,1.4442436573229545,1,196813,284246,0
